countycode,white_percentage,black_percentage,ame_ala_percentage,asian_percentage,native_pacific_percentage,other_percentage,two_more_percentage,median_year_structure_built,median_value
2122,81.43,.64999998,7.9099998,1.66,.36000001,1.49,6.5100002,1988,245400
2130,65.040001,.68000001,14.7,8.2799997,.18000001,1.38,9.7399998,1976,299500
2150,53.32,.5,12.43,22.860001,.23,1.1900001,9.46,1984,295100
2158,3.29,.47,92.970001,.13,.07,.69999999,2.3599999,1986,72800
2164,24.309999,6.9200001,58.740002,2.25,.25999999,.090000004,7.4400001,,120500
2170,81.830002,1.37,6.0500002,1.47,.30000001,.60000002,8.3800001,1993,257900
2180,14.89,.74000001,76.540001,2.6600001,.02,.16,5,1983,159600
2185,28.620001,1.5700001,52.619999,5.8200002,2.1800001,1.37,7.8299999,1983,162500
2188,11.64,1.01,81.879997,1.1799999,.1,.22,3.97,1984,125800
2195,67.330002,2.01,6.8600001,14.52,.18000001,.37,8.7200003,1979,228400
2198,47.16,.55000001,39.27,1.55,.63,.27000001,10.57,1985,191600
2220,64.410004,.63,11.52,7.6399999,.16,.76999998,14.87,1979,365800
2230,79,4.46,4.54,2.6199999,0,.23,9.1499996,1983,397200
2240,75.339996,.98000002,14.05,2.8099999,.2,2.5,4.1100001,1987,179300
2275,65.18,.31999999,22.75,1.71,1.27,.47999999,8.29,1978,221700
2282,38.529999,5.6999998,28.809999,8.3800001,.34,1.6799999,16.58,1982,171200
2290,22.280001,.090000004,69.800003,.60000002,.039999999,.19,6.9899998,1984,74700
4001,22.01,.75999999,73.300003,.37,.079999998,1.0599999,2.4300001,1987,61800
4003,82.080002,4.0799999,1.16,1.89,.31999999,2.4300001,8.0500002,1985,150100
4005,63.130001,1.36,26.120001,1.92,.12,2.97,4.3699999,1988,299100
4007,74,.73000002,16.09,.82999998,.059999999,3.3699999,4.9299998,1983,174300
4009,77.489998,1.78,12.57,.68000001,.11,1.47,5.8899999,1987,146600
4011,87.660004,1.85,3.8499999,.40000001,0,1.4299999,4.8200002,1978,91800
4012,74.089996,.97000003,14.59,.81,.02,4.0599999,5.46,1988,84600
4013,73.790001,5.6599998,1.9299999,4.2399998,.22,7.0999999,7.0700002,1990,278700
4015,87.959999,.94,2.05,1.1900001,.22,3.1500001,4.5,1993,172100
4017,47.259998,1.0599999,43.889999,.47,.15000001,3.5899999,3.5699999,1988,135800
4019,73.309998,3.51,3.5999999,2.9000001,.17,8.6700001,7.8400002,1985,199400
4021,76.760002,4.5,4.7399998,1.65,.34999999,5.0999999,6.9000001,2002,200200
4023,78.160004,.85000002,.63,.43000001,0,9.29,10.63,1987,152700
4025,89.309998,.68000001,1.36,1.02,.059999999,3.47,4.0999999,1993,273300
4027,69.389999,2.1800001,1.46,1.2,.059999999,14.88,10.83,1993,139200
5001,71.32,25.120001,.56999999,.059999999,0,.68000001,2.25,1974,98600
5003,72.199997,24.879999,.039999999,.17,.46000001,1.11,1.14,1975,76200
5005,94.949997,.19,.5,.41,.039999999,.86000001,3.05,1983,134500
5007,81.970001,1.5599999,1.2,3.98,.67000002,2.8800001,7.75,1995,192900
5009,95.839996,.20999999,.67000002,.73000002,0,.27000001,2.28,1983,127200
5011,66.849998,27.52,3.3,.059999999,0,.56,1.6900001,1977,87600
