countycode,white_percentage,black_percentage,ame_ala_percentage,asian_percentage,native_pacific_percentage,other_percentage,two_more_percentage,median_year_structure_built,median_value
17161,78.510002,10.49,.44,2.45,.15000001,2.99,4.9699998,1960,123100
17163,63.18,29.84,.17,1.4400001,.02,1.52,3.8399999,1974,134800
17165,92.760002,2.2,.33000001,.44,.23999999,.34,3.6900001,1969,77900
17167,81.209999,12.73,.13,2.03,.079999998,.38999999,3.4400001,1972,144100
17169,93.370003,5.1900001,.029999999,.14,0,.039999999,1.22,1971,96900
17171,97.190002,.41999999,.16,.44,.60000002,.34,.83999997,1956,91800
17173,97.849998,.63999999,.059999999,.31,.050000001,.029999999,1.0599999,1968,105500
17175,96.290001,.58999997,0,.98000002,0,.2,1.9299999,1955,87500
17177,84.550003,9.5600004,.17,.81999999,0,.49000001,4.4099998,1958,99600
17179,95.400002,1.17,.15000001,1.11,.02,.36000001,1.79,1967,142300
17181,93.480003,1.34,.07,.31,.19,.75999999,3.8399999,1974,110500
17183,81.720001,14.21,.18000001,.97000003,.039999999,.49000001,2.3900001,1955,80900
17185,95.629997,.18000001,.039999999,1.79,0,.28,2.0699999,1965,80900
17187,87.830002,4.0300002,1.04,1.28,0,4.1599998,1.65,1954,86900
17189,96.82,.64999998,.11,.77999997,.039999999,.60000002,.99000001,1972,117400
17191,97.040001,.93000001,.12,.25,0,.66000003,.99000001,1972,89000
17193,97.139999,.88,.27000001,.20999999,.02,.23,1.25,1960,75400
17195,93.18,1.29,.17,.63,.15000001,1.01,3.5699999,1961,107800
17197,72.019997,11.3,.37,5.5599999,.079999998,5.9499998,4.7199998,1991,239400
17199,90.339996,3.9400001,.2,1.2,.039999999,1.21,3.0699999,1980,120900
17201,76.769997,13.27,.16,2.72,.0099999998,2.3699999,4.6999998,1970,121400
17203,96.650002,.61000001,.050000001,.50999999,0,.44999999,1.72,1974,170800
18001,95.410004,.99000001,.1,.25999999,0,1.89,1.35,1970,142100
18003,77.540001,11.35,.2,4.1799998,.039999999,2.26,4.4400001,1974,136700
18005,83.620003,1.85,.12,7.9000001,0,3.05,3.46,1976,163400
18007,96.889999,.57999998,.02,.079999998,.15000001,.23,2.05,1953,98900
18009,97.07,.44,.23999999,.33000001,0,0,1.92,1959,73500
18011,91.879997,1.76,.11,3.1700001,0,.44,2.6300001,1992,245200
18013,96.57,1.22,0,.27000001,0,.25,1.6799999,1982,206600
18015,95.629997,.57999998,.11,.25,0,2.0799999,1.35,1965,133600
18017,83.75,1.17,.34999999,1.61,.050000001,9.5900002,3.48,1954,91500
18019,87.010002,6.3099999,.12,.93000001,.0099999998,1.02,4.5900002,1978,152000
18021,96.75,.57999998,.16,.25,.02,.27000001,1.97,1971,104200
18023,90.400002,.56999999,.02,.28999999,.07,6.1799998,2.47,1957,119000
18025,96.849998,.38,.28999999,0,0,.25999999,2.22,1985,89500
18027,92.68,1.72,0,.23,.02,2.45,2.9000001,1972,139800
18029,97.300003,.69999999,.059999999,.55000001,.07,.15000001,1.16,1979,174500
18031,95.889999,.15000001,.16,1.85,0,.38999999,1.5700001,1973,139500
18033,96.989998,.38,.039999999,.44999999,0,.41999999,1.7,1974,129100
18035,87.800003,6.8000002,.090000004,1.4299999,.090000004,.5,3.29,1964,96600
18037,93.580002,1.1799999,.27000001,.72000003,0,2.21,2.04,1980,162400
18039,85.279999,5.3200002,.28,.92000002,.059999999,3.23,4.9099998,1976,149300
18041,94.940002,2.6099999,.19,.039999999,0,.37,1.86,1962,84000
18043,89.669998,5.1599998,.25,1.12,.0099999998,.37,3.4100001,1974,179100
18045,97.43,.38999999,.18000001,.51999998,0,.12,1.36,1963,107600
18047,97.190002,.14,.0099999998,.38,0,.20999999,2.0699999,1979,167200
18049,93.639999,.67000002,.16,.20999999,.029999999,2.79,2.5,1966,109200
18051,93.879997,2.3299999,.02,.36000001,0,.69,2.72,1973,123900
18053,87.230003,7.2199998,.27000001,.89999998,0,1,3.3800001,1964,96300
18055,97.18,.34,.0099999998,.16,.059999999,.27000001,1.98,1976,101300
18057,86,3.9100001,.16,6.0599999,.029999999,.81,3.04,1998,282700
18059,93.57,2.73,0,.91000003,0,.60000002,2.1800001,1990,179300
18061,96.330002,.55000001,.12,.52999997,0,1.09,1.38,1983,159500
18063,85.650002,7.1799998,.15000001,2.9200001,.0099999998,1.22,2.8699999,1995,205300
18065,94.540001,2.5599999,.25999999,.34,.0099999998,.63999999,1.64,1959,101800
18067,86.559998,8.1400003,.54000002,1.35,.02,.80000001,2.5999999,1966,113900
18069,95.470001,.94,.28,.64999998,.16,1.13,1.37,1959,109200
18071,89.440002,1.35,.27000001,2.4400001,.039999999,4.8200002,1.63,1977,131000
18073,92.32,.88,.0099999998,.23999999,0,2.71,3.8299999,1981,158300
18075,96.449997,.31,.49000001,.46000001,0,1.17,1.11,1960,90800
18077,94.309998,2.1900001,.25,.52999997,0,.67000002,2.0599999,1973,139000
18079,96.089996,1,.38,.050000001,0,.75,1.73,1979,111000
18081,90.360001,2.5799999,.23999999,3.75,.029999999,.82999998,2.2,1990,178500
18083,92.900002,2.8800001,.059999999,.82999998,.050000001,1.01,2.27,1964,97900
18085,92.809998,.64999998,.34999999,1.51,.039999999,1.37,3.26,1976,153500
18087,97.269997,.16,.02,.1,0,.38999999,2.0599999,1980,194600
18089,61.02,23.629999,.25999999,1.41,.029999999,8.8100004,4.8499999,1965,156100
18091,81.910004,10.67,.28999999,.68000001,.02,2.1300001,4.3000002,1967,139900
18093,95.970001,.43000001,.19,.52999997,.02,.92000002,1.9400001,1975,126200
18095,86.839996,8.0200005,.23,.50999999,0,1.29,3.1099999,1964,103800
18097,59.810001,28.26,.20999999,3.55,.02,3.8499999,4.29,1971,145200
18099,94.440002,.73000002,.25999999,.51999998,0,1.8200001,2.23,1973,144400
18101,96.489998,.81,1.04,.31,0,.050000001,1.3,1977,125400
18103,89.970001,4.46,.60000002,.61000001,0,1.61,2.75,1958,91100
18105,85.559998,3.29,.23999999,6.5500002,.0099999998,.41999999,3.9400001,1985,189900
18107,94.540001,.95999998,.1,.68000001,.039999999,.92000002,2.76,1967,132200
18109,96.529999,.28999999,.02,.83999997,0,.46000001,1.86,1981,165300
18111,94.209999,1.29,.14,0,0,2.71,1.65,1969,116000
18113,94.849998,.63,.050000001,.69,.07,.75999999,2.95,1974,132400
18115,96.129997,.52999997,.079999998,.49000001,0,.61000001,2.1600001,1984,146500
18117,95.239998,2.53,.079999998,.50999999,0,.18000001,1.46,1976,102400
18119,96.32,.31,.51999998,.47999999,0,0,2.3599999,1978,125200
18121,95.389999,1.33,.22,0,0,.38,2.6800001,1973,96400
18123,94.239998,2.72,.16,.58999997,0,.27000001,2.02,1971,114600
18125,96.260002,.75999999,0,.56,0,1.42,.99000001,1972,109400
18127,89.580002,3.9100001,.19,1.33,.050000001,1.5,3.4400001,1980,193500
18129,95.620003,1.88,.050000001,.28999999,0,.99000001,1.17,1974,150900
18131,94.580002,.17,.25,.46000001,.31,1.4299999,2.8,1966,114100
18133,92.720001,2.52,.17,2.6800001,.02,.40000001,1.49,1979,144900
18135,94.550003,.44,.07,.37,0,1.96,2.5999999,1952,83700
18137,96.839996,.34,.13,.94999999,0,.47999999,1.26,1975,156400
18139,97.139999,1.88,.02,.1,0,.23,.63999999,1952,115900
18141,76.309998,12.85,.46000001,2.52,.050000001,2.6800001,5.1199999,1967,134800
18143,96.589996,.18000001,.68000001,.28,0,.70999998,1.5700001,1980,107800
18145,94.139999,1.04,.059999999,.5,.02,2.26,2,1968,139300
18147,96.769997,.63999999,.079999998,.36000001,0,.58999997,1.55,1979,133200
18149,96.809998,.72000003,.30000001,.25,0,.25,1.66,1972,111100
18151,95.75,.38,.039999999,.56,0,.56999999,2.71,1979,154300
18153,91.970001,3.8399999,.15000001,.75999999,.029999999,.62,2.6400001,1971,89400
18155,96.019997,.58999997,0,.68000001,.75999999,.41999999,1.53,1991,116000
18157,80.410004,5.6199999,.23,8.1000004,.039999999,2.8099999,2.8099999,1982,160900
18159,96.239998,.050000001,.02,.52999997,0,1.04,2.1199999,1962,123900
18161,96.82,.27000001,0,1.85,0,.079999998,.98000002,1970,128200
18163,84.709999,9.5200005,.059999999,1.34,.19,1.12,3.0599999,1967,136100
18165,97.019997,.69999999,.18000001,.28,.050000001,.47999999,1.28,1962,83900
18167,86.599998,7.23,.16,1.97,.07,.88,3.0899999,1969,105200
18169,95.150002,1.0599999,.86000001,.51999998,.039999999,1.3,1.0700001,1960,109600
18171,97.309998,.63,0,.23,0,.23,1.59,1967,120300
18173,92.5,1.83,.090000004,2.8199999,.0099999998,1.14,1.61,1984,173900
18175,97.730003,.059999999,.039999999,.34,0,.23999999,1.59,1979,120100
18177,89.279999,5.1100001,.36000001,1.29,0,.92000002,3.05,1960,102400
18179,94.989998,.81,.2,.38,0,.79000002,2.8099999,1970,132500
18181,90.730003,.66000003,.57999998,.33000001,.029999999,6,1.67,1971,119200
18183,96.279999,.38,.19,.43000001,0,.12,2.5999999,1977,151900
19001,96.769997,.47999999,0,.77999997,0,.31,1.66,1959,111100
19003,96.75,.11,.22,.63,0,.94,1.35,1944,81400
19005,95.410004,1.1900001,1.1,.5,0,.41,1.4,1971,133400
19007,96.699997,.62,.38999999,.28,0,.12,1.89,1963,85000
19009,96.650002,.039999999,0,.039999999,0,.36000001,2.9100001,1950,84300
19011,96.449997,.37,.16,.38999999,0,.73000002,1.91,1965,158700
19013,83.059998,9.6199999,.40000001,2.7,.28,1.0700001,2.8800001,1966,150200
19015,95.75,1.13,.5,.25999999,.25999999,.66000003,1.4400001,1960,141000
19017,95.650002,1.05,.25999999,1.11,.059999999,.34,1.52,1966,169000
19019,97.120003,.14,.20999999,.34999999,.0099999998,.0099999998,2.1600001,1969,143200
19021,73.769997,2.26,.059999999,10.52,1.66,7.4299998,4.3000002,1963,120300
19023,97.190002,.83999997,.17,.56999999,.079999998,.2,.94999999,1954,120100
19025,95.239998,1.58,.19,.37,0,.68000001,1.9400001,1959,85600
19027,94.57,.50999999,.41999999,.67000002,0,1.17,2.6700001,1965,138700
19029,96.82,.61000001,.28,.33000001,.13,.70999998,1.12,1953,107200
19031,97.290001,.81,.22,.63,0,.090000004,.95999998,1963,163100
19033,93.449997,2.1199999,.36000001,1.14,.20999999,.67000002,2.04,1957,130400
19035,92.889999,3.05,0,1.11,0,.07,2.8800001,1953,117400
19037,97.709999,.54000002,.13,.1,.02,.44,1.05,1962,122000
19039,96.410004,.12,.34999999,.050000001,0,.44,2.6300001,1972,115400
19041,95.580002,.12,.1,.68000001,0,.92000002,2.5999999,1964,129700
19043,97.260002,.79000002,.23999999,.41999999,0,.34999999,.94,1960,131600
19045,93.339996,2.8599999,.25,.67000002,.0099999998,.16,2.71,1956,120200
19047,81.459999,3.1099999,.56,2.28,.14,8.3800001,4.0799999,1956,101100
19049,88.830002,1.9,.11,4.5999999,.12,.86000001,3.5899999,2003,258300
19051,97.5,0,.41999999,.56999999,0,.20999999,1.29,1970,117900
19053,94.220001,1.21,0,.94999999,.18000001,.43000001,3.01,1967,82800
19055,96.800003,.23,.090000004,.5,0,.63999999,1.74,1967,141300
19057,89.690002,6.0500002,.11,.93000001,.0099999998,.34,2.8699999,1956,111600
19059,96.730003,.18000001,.17,.99000001,0,.34,1.59,1977,199800
19061,91.910004,3.1300001,.23999999,1.1799999,.58999997,.46000001,2.49,1970,175300
19063,93.120003,2.1500001,.13,.28,0,2.3,2.03,1954,90000
19065,94.849998,1.53,.13,.44,.0099999998,.15000001,2.8900001,1955,106200
19067,93.239998,1.53,.55000001,1.53,.68000001,.30000001,2.1600001,1956,107700
19069,96.010002,1.3200001,.050000001,0,0,.18000001,2.45,1954,93200
19071,95.879997,.83999997,.25999999,0,0,1.23,1.78,1956,113200
19073,95.709999,.37,.15000001,.52999997,0,.81,2.4400001,1952,93500
19075,97.800003,.69,.07,.33000001,0,0,1.11,1956,138100
19077,96.120003,.23999999,.13,.25,0,.95999998,2.29,1968,129000
19079,93.190002,1.23,.17,2.72,.27000001,.62,1.79,1954,105200
19081,95.629997,1.34,.28,.38,0,1.0599999,1.3099999,1958,100900
19083,94.580002,1.33,.60000002,.38,.11,.67000002,2.3299999,1951,95100
19085,97.32,.28999999,.23999999,.25999999,.14,.11,1.64,1950,124000
19087,90.959999,2.24,.34,2.74,.050000001,.77999997,2.8900001,1964,118500
19089,97.440002,.36000001,.0099999998,.51999998,.02,.0099999998,1.64,1949,105800
19091,96.089996,.27000001,.14,.82999998,0,.52999997,2.1400001,1955,109200
19093,96.68,1.66,.07,.07,0,.63999999,.87,1949,102400
19095,96,.55000001,.02,.38,0,.34999999,2.71,1968,156000
19097,96.519997,.70999998,.02,.41999999,.55000001,.22,1.5599999,1969,127600
19099,95.150002,1.5,.23,.56999999,0,.27000001,2.28,1966,137200
19101,83.769997,2.3800001,.039999999,11.22,0,.56999999,2.02,1969,120600
19103,80.690002,7.6300001,.18000001,6.1999998,.050000001,1.66,3.5899999,1987,238600
19105,94.489998,2.2,.18000001,.88999999,0,0,2.24,1966,140000
19107,97.239998,.38999999,.090000004,.12,.02,.75999999,1.39,1947,95800
19109,96.260002,1.17,.15000001,.60000002,.0099999998,.44999999,1.36,1957,109400
19111,93.199997,2.99,.27000001,.63999999,.02,.41999999,2.47,1955,98400
19113,87.489998,5.5799999,.19,2.27,.16,.63,3.6800001,1976,161600
19115,87.540001,1.2,.23,3.5,0,5.5,2.02,1963,107900
19117,98.150002,.28,.050000001,0,0,.27000001,1.25,1966,94200
19119,96.099998,.1,.34,.40000001,.28,1.05,1.73,1965,160700
19121,96.949997,.56,.22,.97000003,0,.039999999,1.26,1976,186700
19123,94.260002,1.59,.13,1.28,.22,.56,1.95,1960,113100
19125,95.559998,1.05,.18000001,1.03,.029999999,.38,1.76,1973,160100
19127,84.459999,1.21,.22,3.71,.039999999,6.1199999,4.2399998,1958,104400
19129,96.410004,.47999999,.56999999,.38999999,0,.67000002,1.48,1972,178500
19131,97.870003,.44,.25999999,.41999999,0,.20999999,.80000001,1956,120400
19133,95.839996,.31999999,1.28,0,.41,.059999999,2.0899999,1952,90000
19135,96.330002,.029999999,0,.28,0,.0099999998,3.3499999,1973,113800
19137,96,.15000001,1.16,.090000004,0,.28999999,2.3199999,1949,85300
19139,88.910004,2.3699999,.25999999,.88999999,.029999999,3.6900001,3.8599999,1963,135400
19141,94.480003,1.78,.20999999,.82999998,.029999999,1.21,1.47,1958,116300
19143,93.220001,.91000003,.22,.43000001,.050000001,1.6,3.5699999,1955,96600
19145,93.32,2.24,.34,1.05,.17,.34,2.55,1954,96400
19147,94.389999,1.5,.36000001,.15000001,0,.34999999,3.27,1960,107300
19149,94.510002,1.52,.54000002,.68000001,0,1.87,.88,1968,172600
19151,95.989998,.41999999,.16,.80000001,.47999999,.63999999,1.52,1949,81900
19153,82.580002,6.96,.23999999,4.79,.090000004,1.76,3.5799999,1978,190400
19155,92.720001,1.67,.38999999,.76999998,.0099999998,1.67,2.76,1967,141300
19157,93.32,1.33,.0099999998,2.3,0,.54000002,2.5,1969,148200
19159,95.650002,.1,.2,.76999998,0,2.01,1.26,1971,113000
19161,97.330002,.72000003,0,.38999999,0,.55000001,1.01,1951,101200
19163,84.260002,7.3800001,.28999999,2.79,.0099999998,.87,4.3899999,1971,167900
19165,96.099998,1,.17,.31999999,0,1.13,1.27,1955,120700
19167,93.470001,.41,.25999999,.58999997,.050000001,2.26,2.97,1972,182500
19169,85.209999,2.1800001,.15000001,8.04,0,1.14,3.3,1981,195200
19171,86.779999,.62,7.98,.34,.039999999,.76999998,3.47,1952,114400
19173,94.290001,.02,.15000001,.15000001,0,2.52,2.8900001,1950,84100
19175,95.739998,.17,0,1.66,.07,.94,1.42,1960,109600
19177,97.330002,.30000001,0,.47999999,0,.34999999,1.55,1970,91200
19179,86.940002,3.7,.25,1.4400001,.86000001,3.77,3.05,1956,87400
19181,95.529999,.58999997,.050000001,.75999999,.28,.63999999,2.1500001,1981,196100
19183,94.07,.67000002,.2,.44,.029999999,2.6199999,1.97,1962,158600
19185,95.940002,.19,.47999999,.079999998,0,.54000002,2.77,1962,79900
19187,89.459999,4.3099999,.31,1.36,.0099999998,1.58,2.97,1957,107900
19189,94.709999,1.55,.30000001,1.26,0,.77999997,1.4,1963,96200
19191,96.300003,.91000003,.33000001,.91000003,.0099999998,.76999998,.76999998,1958,183300
19193,83.370003,3.76,1.8200001,2.5899999,.40000001,2.5999999,5.4499998,1957,131300
19195,95.190002,.81,0,.41999999,.029999999,.52999997,3.03,1951,107600
19197,93.550003,.15000001,.02,.090000004,0,3.01,3.1800001,1954,86100
20001,92.809998,.62,.54000002,.95999998,1.0599999,0,4.0100002,1968,80300
20003,96.32,.57999998,.70999998,.039999999,0,0,2.3499999,1962,100300
20005,89.029999,3.05,.36000001,.43000001,0,.94,6.1900001,1961,108700
20007,95.459999,.49000001,1.54,.62,0,.18000001,1.71,1955,74400
20009,90.849998,1.12,1.0700001,.31999999,.31999999,2.0699999,4.2600002,1958,97100
20011,91.370003,2.9400001,.12,.31999999,0,.95999998,4.2800002,1962,83900
20013,85.199997,.74000001,9.6000004,.20999999,.039999999,.36000001,3.8499999,1959,87000
20015,91.669998,2.48,.79000002,1.22,.029999999,.55000001,3.26,1981,150300
20017,93.860001,1.3099999,.76999998,.15000001,0,1.11,2.8,1957,102500
20019,87.099998,1.16,4.2399998,.34,0,.23999999,6.9200001,1962,51700
20021,89.910004,.31,2.02,.17,.51999998,.23,6.8299999,1971,80700
20023,95.57,0,.63999999,0,0,2.96,.82999998,1950,84200
20025,92.07,.64999998,.30000001,1.84,0,.44999999,4.6900001,1955,74300
20027,96.279999,1.01,1,.56999999,0,0,1.15,1946,105500
20029,95.239998,1.63,.33000001,.090000004,.07,.49000001,2.1500001,1942,77800
20031,95.639999,.94999999,.19,.57999998,0,.11,2.52,1972,124300
20033,96.589996,.23,0,0,0,.50999999,2.6700001,1940,72500
20035,86.540001,2.8099999,1.5700001,1.86,.13,1.23,5.8699999,1961,88600
20037,91.449997,2.1900001,.41,1.9299999,0,.51999998,3.51,1972,96900
20039,97.839996,.34999999,.52999997,.41999999,0,0,.85000002,1953,68400
20041,94.400002,1.1799999,.52999997,.77999997,0,.56,2.55,1953,116400
20043,91.949997,5,.57999998,.14,.090000004,.13,2.0999999,1964,100000
20045,81.129997,4.3099999,2.0999999,5.3000002,.029999999,1.37,5.7600002,1986,212400
20047,92.910004,.38999999,.63999999,.95999998,0,1.8099999,3.3,1950,60700
20049,92.849998,.079999998,1.6,.44,0,.83999997,4.1999998,1955,49400
20051,92.879997,1.3099999,.20999999,1.6799999,.23,.72000003,2.97,1974,172700
20053,90.849998,2.9000001,1.05,1.1,0,.28999999,3.8099999,1956,110100
20055,78.440002,3.4200001,.52999997,4.04,0,5.1900001,8.3800001,1977,159300
20057,82.410004,2.0599999,.47999999,1.26,.079999998,5.3699999,8.3500004,1970,109800
20059,92.760002,.66000003,.31999999,.37,.029999999,1.89,3.97,1972,138500
20061,64.900002,18.700001,.81999999,2.72,.88999999,3.25,8.71,1987,143100
20063,95.400002,.75,0,.38,0,.34,3.1300001,1962,99800
20065,90.989998,5.1100001,0,.44999999,0,0,3.45,1957,77500
20067,95.230003,.039999999,.14,1.09,0,1.34,2.1600001,1979,137000
20069,95.080002,.73000002,.23,.38,.31999999,.30000001,2.96,1972,142600
20071,81.75,0,1.8200001,0,0,12.72,3.72,1960,112100
20073,94.739998,.2,.34999999,.38,0,.55000001,3.78,1956,64500
20075,88.209999,2,0,0,0,8.1899996,1.61,1966,75000
20077,94.370003,.18000001,1.51,.44999999,.31,1.27,1.91,1957,75200
20079,90.400002,1.59,.23999999,.72000003,.22,1.89,4.9400001,1967,131000
20081,82.879997,.029999999,.94999999,.13,0,9.8500004,6.1700001,1971,96300
20083,96.739998,.11,.31999999,0,0,.20999999,2.6199999,1958,93400
20085,86.290001,.14,8.1899996,.34,.11,.63,4.29,1975,139400
20087,95.650002,.68000001,.72000003,.02,0,.37,2.5599999,1976,163400
20089,94.779999,.38999999,.67000002,.18000001,.20999999,.67000002,3.1199999,1944,56300
20091,84.669998,4.7199998,.27000001,5.2399998,.039999999,1.36,3.71,1986,277500
20093,90.529999,2.95,.029999999,.23,0,5.3600001,.91000003,1974,91200
20095,96.349998,.56,.059999999,.15000001,0,.22,2.6600001,1959,92500
20097,92.629997,.76999998,.93000001,1.05,0,1.9299999,2.7,1970,132500
20099,88.400002,4.5300002,.85000002,.13,0,.85000002,5.2399998,1960,76500
20101,94.089996,0,.85000002,1.58,.2,2.8199999,.46000001,1960,75100
20103,81.540001,8.7200003,.74000001,1.47,.079999998,2.1600001,5.29,1979,195000
20105,95.690002,.27000001,.029999999,0,0,0,4.02,0,75400
20107,95.669998,.47,.19,1.75,.38,.17,1.36,1981,112000
20109,94.940002,.07,1.4299999,0,.28999999,.89999998,2.3699999,1962,89600
20111,86.889999,2.1900001,.44,2.3099999,0,1.83,6.3499999,1969,113700
20113,94.849998,1.55,.31999999,.75,0,.079999998,2.45,1972,154700
20115,94.849998,1.08,.33000001,.61000001,0,.27000001,2.8699999,1959,96600
20117,95.400002,.38,.07,.41,.2,.47,3.0699999,1955,101600
20119,82.230003,.92000002,.050000001,.87,0,10.39,5.5300002,1959,101800
20121,94.139999,1.1,1.05,.56,0,1.11,2.04,1981,212500
20123,96.830002,.57999998,.73000002,.31,0,.15000001,1.4,1952,92100
20125,83.309998,5.27,3.3900001,.60000002,.11,1.85,5.4899998,1958,78900
20127,95.949997,.14,.22,.75999999,0,.14,2.79,1955,94400
20129,88.099998,.079999998,.19,2.1500001,0,.34,9.1499996,1969,90300
20131,96.400002,.56,.63999999,.18000001,0,.34999999,1.87,1971,150400
20133,94.550003,1.38,.5,.07,0,.25,3.25,1957,83800
20135,92.18,.34999999,.11,.25,0,6.0599999,1.0599999,1956,74100
20137,91.839996,3.29,.82999998,.64999998,0,1.53,1.86,1955,79100
20139,95.43,.62,.15000001,.23999999,.0099999998,.25999999,3.29,1972,123600
20141,95.309998,.86000001,.2,.11,0,.97000003,2.55,1946,66100
20143,95.980003,.66000003,1.02,.81,0,0,1.52,1955,117300
20145,89.400002,5.6599998,.94999999,.23,0,1.88,1.88,1954,78800
20147,95.769997,1.1900001,.41999999,.88999999,.20999999,.059999999,1.47,1960,82700
20149,93.800003,1.6799999,.67000002,.68000001,0,.27000001,2.9000001,1981,176700
20151,93.339996,1.86,.27000001,.19,0,.19,4.1500001,1954,107500
20153,93.050003,.56,1.24,.12,0,3.5699999,1.45,1951,101000
20155,90.07,2.5599999,1.01,.52999997,.12,1.01,4.71,1962,106100
20157,96.900002,.95999998,.46000001,.34999999,0,.41,.93000001,1943,67100
20159,90.339996,1.97,.47999999,.74000001,.30000001,2.23,3.9200001,1953,79500
20161,81.809998,6.2600002,.37,5.0900002,.2,1.28,4.98,1984,205900
20163,95.330002,1.87,.059999999,.22,.16,.51999998,1.85,1955,77300
20165,93.190002,.27000001,0,.81,0,.34,5.3800001,1952,70100
20167,92.150002,1.8099999,.80000001,0,0,.87,4.3600001,1954,99900
20169,87.279999,2.8800001,.31999999,2.02,.02,1.96,5.52,1966,141300
20171,91.540001,0,.059999999,1.5700001,.039999999,4.27,2.51,1964,134000
20173,76.199997,8.3800001,.89999998,4.3000002,.059999999,3.95,6.21,1975,146300
20175,57.450001,4.0999999,.81999999,2.5899999,.17,24.889999,9.9799995,1971,111200
20177,80.82,8.2399998,.81,1.35,.029999999,3.54,5.1999998,1970,135100
20179,96.099998,.82999998,.60000002,0,0,1.55,.91000003,1963,119000
20181,89.349998,.97000003,.50999999,1.27,0,5.5900002,2.3199999,1969,107500
20183,96.050003,.28,.41999999,.77999997,0,.059999999,2.4200001,1950,75300
20185,94.5,.1,1.21,.1,0,1.02,3.0799999,1952,73900
20187,92.220001,0,.2,0,0,2.22,5.3699999,1970,63200
20189,81.279999,.62,.039999999,0,0,7.9099998,10.15,1966,104200
20191,93.470001,.74000001,1.23,.51999998,0,.79000002,3.24,1964,94800
20193,93.709999,2.23,.37,.5,0,1.03,2.1400001,1967,129600
20195,98.889999,.14,.11,0,0,.43000001,.43000001,1958,103600
20197,94.370003,.60000002,.76999998,.63,.07,.60000002,2.97,1966,153700
20199,92.739998,.25,.38,.56999999,0,2.53,3.54,1956,84500
20201,96.260002,.18000001,.60000002,.16,0,.79000002,2.01,1950,84100
20203,89.769997,1.04,.56999999,1.09,0,6.0100002,1.52,1971,101500
20205,94.550003,.74000001,.22,0,.12,.20999999,4.1599998,1963,82200
20207,92.620003,.16,1.73,0,0,.16,5.3299999,1955,68700
20209,55.75,21.51,.5,4.8800001,.16,10.66,6.5500002,1961,107000
21001,93.879997,2.8199999,.0099999998,.51999998,0,.44999999,2.3199999,1983,105400
21003,96.709999,.55000001,0,.11,0,.23,2.4000001,1988,123300
21005,94.370003,3,0,.25999999,.050000001,.27000001,2.05,1989,158100
21007,93.040001,4.9200001,.16,.28,0,.059999999,1.54,1980,103800
21009,92.239998,3.47,.07,.37,0,.50999999,3.3399999,1982,127100
21011,95.830002,1.3,.1,.38999999,0,.85000002,1.53,1986,83900
21013,95.260002,2.5,.17,.0099999998,0,.23999999,1.8200001,1976,62800
21015,89.699997,3.27,.11,2.3499999,.02,1.72,2.8299999,1995,194700
21017,91.220001,6.5999999,0,.16,0,.19,1.84,1975,155300
21019,93.470001,2,.11,.31,.029999999,1.23,2.8499999,1970,110000
21021,86.739998,8.0200005,.28999999,.87,0,1.47,2.6099999,1977,144000
21023,96.389999,.97000003,.23999999,.97000003,0,0,1.42,1972,102700
21025,97.300003,1.45,.090000004,.33000001,0,.47,.37,1986,53000
21027,95.379997,1.67,.13,.34999999,0,.23999999,2.24,1985,104500
21029,95.07,1.21,.14,.75999999,0,.46000001,2.3499999,1991,171300
21031,96.610001,.47,.13,.33000001,.02,.91000003,1.53,1980,92000
21033,92.290001,7.3000002,0,0,0,0,.41,1972,89600
21035,91.260002,3.5,.23999999,1.1799999,.16,.64999998,3.01,1984,141200
21037,93.550003,3.04,.1,1.01,.02,.44,1.83,1968,173400
21039,95.379997,1.27,.46000001,.75999999,0,.20999999,1.92,1977,83200
21041,91.339996,2.9200001,0,.46000001,0,2.1600001,3.1199999,1984,105800
21043,97.129997,.38,.30000001,0,.0099999998,.14,2.04,1980,109500
21045,96.220001,.77999997,.63999999,.23,0,1.2,.92000002,1985,97600
21047,70.809998,20.780001,.46000001,1.72,.44,1.28,4.52,1980,121000
21049,91.599998,4.4699998,.090000004,.64999998,0,.94,2.25,1980,151300
21051,91.970001,4.98,.090000004,0,.039999999,.31999999,2.5899999,1987,61300
21053,96.599998,.34,0,.15000001,0,1.21,1.7,1984,77900
21055,96.779999,.64999998,.34,.23,0,.56,1.4400001,1977,97200
21057,92.480003,2.3900001,0,.69,0,2.54,1.91,1982,110000
21059,89.480003,4.6700001,.16,1.86,.11,.95999998,2.76,1975,143500
21061,95.419998,1.75,.2,.11,0,.02,2.52,1987,91900
21063,95.980003,3.52,0,0,0,.34999999,.15000001,1984,76600
21065,97.099998,.1,.40000001,.059999999,0,.090000004,2.25,1978,78200
21067,73.709999,14.62,.19,3.98,.02,3.0799999,4.4099998,1981,200900
21069,96.349998,2.22,.17,.63999999,0,.17,.44999999,1983,91100
21071,97.400002,1.0700001,.0099999998,.34,0,.16,1.02,1978,74000
21073,82.199997,9.8900003,.07,1.85,.059999999,2.21,3.71,1976,149900
21075,71.599998,22.77,1.3,.12,0,.52999997,3.6800001,1973,63800
21077,91.220001,2.04,0,.11,0,3.3599999,3.26,1993,135100
21079,94.639999,2.0999999,.20999999,.090000004,0,.67000002,2.3,1987,144900
21081,94.040001,.58999997,.23,.20999999,0,2.04,2.8800001,1990,141600
