countycode,total_insurance,total_insurance_building,total_insurance_contents
6047,217691.3,201882.6086956522,15808.69565217391
6053,257546.38,199165.2173913044,58381.15942028986
6055,309236,229720,79516
6057,294147.38,246842.1052631579,47305.26315789474
6059,297793.25,225601.6853932584,72191.57303370787
6061,258000,185909.0909090909,72090.90909090909
6063,259650,211475,48175
6065,295704.97,221189.2561983471,74515.70247933884
6067,285935.22,218712.20657277,67223.00469483568
6069,253311.91,210373.8095238095,42938.09523809524
6071,218717.78,177351.1111111111,41366.66666666666
6073,372998.75,301346,71652.75
6075,334200,250000,84200
6077,239146.52,180053.488372093,59093.02325581395
6079,296090,229963.3333333333,66126.66666666667
6081,382642.25,299363.3802816902,83278.87323943662
6083,353988.63,296909.0196078431,57079.60784313725
6085,259958.66,245635.5769230769,14323.07692307692
6087,252166.91,211615.4929577465,40551.40845070423
6089,219300,182873.1707317073,36426.82926829268
6091,247157.14,208442.8571428571,38714.28571428572
6093,234300,234300,0
6095,270787.88,201012.1212121212,69775.75757575757
6097,213853.5,190573.2519422864,23280.24417314096
6099,111370,92950,18420
6101,388665.78,219842.1052631579,168823.6842105263
6103,179463.64,134827.2727272727,44636.36363636364
6105,163600,163600,0
6107,305388.88,232055.5555555556,73333.33333333333
6109,231400,175200,56200
6111,323741.25,238481.25,85260
6113,239126.47,200450,38676.47058823529
6115,269647.81,197826.0869565217,71821.73913043478
8001,233000,195000,38000
8003,350000,250000,100000
8005,199272.73,141818.1818181818,57454.54545454546
8013,394230.78,251153.8461538462,143076.9230769231
8014,196000,140000,56000
8021,280000,200000,80000
8029,350000,250000,100000
8031,265166.66,191388.8888888889,73777.77777777778
8035,274100,189533.3333333333,84566.66666666667
8037,318290,227410,90880
8041,240896.47,176378.8235294118,64517.64705882353
8043,310500,241750,68750
8045,350000,250000,100000
8051,210000,150000,60000
8059,286125,212500,73625
8067,394444.44,261111.1111111111,133333.3333333333
8069,351185.72,206071.4285714286,145114.2857142857
8071,140000,100000,40000
8077,300000,225000,75000
8083,538140,317960,220180
8085,210000,150000,60000
8089,59533.332,49300,10233.33333333333
8097,350000,250000,100000
8101,203636.36,145454.5454545454,58181.81818181818
8105,246900,228300,18600
8107,550000,500000,50000
8113,350000,250000,100000
8117,350000,250000,100000
8119,350000,250000,100000
8123,234400,171000,63400
8125,350000,250000,100000
9001,352612.84,311863.4961439589,40749.35732647815
9003,237236.11,195938.8888888889,41297.22222222222
9005,179620,144000,35620
9007,289711.47,225204.9180327869,64506.55737704918
9009,317941.19,279300,38641.17647058824
9011,253622.22,201759.2592592593,51862.96296296296
9013,332500,237500,95000
9015,267633.34,255300,12333.33333333333
10001,232485.3,193705.8823529412,38779.41176470588
10003,575761.31,523009.4339622642,52751.88679245283
10005,387484.38,341204.9107142857,46279.46428571428
11001,255293.39,195374.0566037736,59919.33962264151
12001,284293.88,242287.7551020408,42006.12244897959
12003,154514.28,119566.6666666667,34947.61904761905
12005,456617.34,385588.9953851615,71028.36350727724
12007,191817.39,157257.6086956522,34559.78260869566
12009,346192.72,265909.3859649123,80283.33333333333
12011,1039160.4,972003.843575419,67156.6033519553
12013,196457.14,160271.4285714286,36185.71428571428
12015,411666.06,371143.1547619047,40522.91666666666
12017,199675.11,168823.9855725879,30851.12714156898
12019,285644.22,224292.6315789474,61351.57894736842
12021,744768.19,682207.4453551912,62560.72404371585
12023,188741.03,155112.8205128205,33628.20512820513
12027,182453.22,152130.6451612903,30322.58064516129
12029,153597.27,138242.4657534247,15354.79452054794
12031,448919.63,376801.8708730741,72117.75495231108
12033,567498.69,497036.7399371967,70461.91835569512
12035,545309.88,488225.6961018298,57084.16865552904
12037,311773.81,265376.7001114827,46397.10144927536
12039,314000,260000,54000
12041,208400,175746.6666666667,32653.33333333333
12043,104900,84700,20200
12045,280355.5,219155.68743818,61199.80217606331
12047,222900,187700,35200
12049,202795.66,155286.9565217391,47508.69565217391
12051,244824,190980,53844
12053,161432.5,136798.1424148607,24634.3653250774
12055,207559.45,158760.8108108108,48798.64864864865
12057,359116.03,304007.3634204275,55108.66983372922
12059,131510.72,105785.7142857143,25725
12061,440983.97,376688.0597014925,64295.89552238806
